Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Lightning Charging Cable,1,14.95,01/26/19 15:40,"988 Main St, San Francisco, CA 94016"
141235,AAA Batteries (4-pack),6,2.99,01/25/19 21:18,"746 Pine St, San Francisco, CA 94016"
141236,Apple Airpods Headphones,1,150.0,01/30/19 12:10,"663 Wilson St, New York City, NY 10001"
141237,Wired Headphones,1,11.99,01/26/19 17:00,"645 Meadow St, Austin, TX 73301"
141238,Wired Headphones,1,11.99,01/02/19 00:04,"154 6th St, Portland, ME 04101"
141239,Lightning Charging Cable,1,14.95,01/25/19 17:56,"445 Highland St, San Francisco, CA 94016"
141240,Apple Airpods Headphones,1,150.0,01/19/19 18:38,"4 Willow St, Boston, MA 02215"
141241,Lightning Charging Cable,1,14.95,01/27/19 18:17,"291 Lake St, Seattle, WA 98101"
141242,LG Washing Machine,1,600.0,01/05/19 10:00,"703 Adams St, San Francisco, CA 94016"
141243,27in 4K Gaming Monitor,1,389.99,01/18/19 19:59,"46 6th St, Seattle, WA 98101"
141244,Bose SoundSport Headphones,1,99.99,01/18/19 14:40,"71 Johnson St, Austin, TX 73301"
141245,iPhone,1,700.0,01/16/19 10:27,"516 Maple St, San Francisco, CA 94016"
141245,Wired Headphones,1,11.99,01/16/19 10:27,"516 Maple St, San Francisco, CA 94016"
141246,Bose SoundSport Headphones,1,99.99,01/12/19 21:03,"356 1st St, Atlanta, GA 30301"
141247,Bose SoundSport Headphones,1,99.99,01/21/19 20:02,"707 Chestnut St, Los Angeles, CA 90001"
141248,27in 4K Gaming Monitor,1,389.99,01/28/19 00:42,"892 1st St, San Francisco, CA 94016"
141249,Wired Headphones,1,11.99,01/21/19 20:04,"631 7th St, New York City, NY 10001"
141250,Lightning Charging Cable,1,14.95,01/21/19 15:39,"78 Sunset St, Dallas, TX 75001"
141251,Apple Airpods Headphones,1,150.0,01/02/19 11:06,"92 Cherry St, Los Angeles, CA 90001"
141252,Wired Headphones,1,11.99,01/27/19 18:36,"330 South St, Seattle, WA 98101"
141253,AA Batteries (4-pack),2,3.84,01/26/19 15:57,"66 North St, San Francisco, CA 94016"
141254,AAA Batteries (4-pack),1,2.99,01/14/19 16:56,"382 Lincoln St, Dallas, TX 75001"
141255,USB-C Charging Cable,3,11.95,01/21/19 10:44,"247 Spruce St, San Francisco, CA 94016"
141256,Wired Headphones,1,11.99,01/01/19 21:05,"205 7th St, Seattle, WA 98101"
141257,LG Washing Machine,1,600.0,01/19/19 13:58,"702 Cedar St, Austin, TX 73301"
141258,27in 4K Gaming Monitor,1,389.99,01/16/19 21:04,"92 9th St, Portland, OR 97035"
141259,Lightning Charging Cable,1,14.95,01/18/19 20:40,"430 Spruce St, Los Angeles, CA 90001"
141260,Wired Headphones,1,11.99,01/23/19 10:48,"261 Madison St, Atlanta, GA 30301"
141261,AAA Batteries (4-pack),1,2.99,01/20/19 13:38,"543 1st St, Dallas, TX 75001"
141262,Apple Airpods Headphones,1,150.0,01/20/19 14:36,"469 Forest St, Portland, OR 97035"
141263,USB-C Charging Cable,1,11.95,01/17/19 15:28,"342 Center St, San Francisco, CA 94016"
141264,27in 4K Gaming Monitor,1,389.99,01/13/19 17:32,"218 Jefferson St, Boston, MA 02215"
141265,Wired Headphones,1,11.99,01/22/19 11:43,"622 Johnson St, San Francisco, CA 94016"
141266,Wired Headphones,2,11.99,01/20/19 17:18,"128 Lakeview St, Boston, MA 02215"
141267,20in Monitor,1,109.99,01/31/19 20:13,"622 Jefferson St, New York City, NY 10001"
141268,AA Batteries (4-pack),1,3.84,01/25/19 13:00,"953 Highland St, Portland, ME 04101"
141269,34in Ultrawide Monitor,1,379.99,01/01/19 19:47,"229 Forest St, Los Angeles, CA 90001"
141270,Lightning Charging Cable,1,14.95,01/15/19 08:13,"536 Hill St, San Francisco, CA 94016"
141271,Google Phone,1,600.0,01/23/19 13:33,"793 Lakeview St, Dallas, TX 75001"
141272,Lightning Charging Cable,1,14.95,01/30/19 20:11,"625 West St, Los Angeles, CA 90001"
141273,AA Batteries (4-pack),1,3.84,01/08/19 22:24,"553 Spruce St, San Francisco, CA 94016"
141274,AA Batteries (4-pack),1,3.84,01/17/19 13:36,"113 Dogwood St, Atlanta, GA 30301"
141275,AAA Batteries (4-pack),1,2.99,01/29/19 20:26,"535 Adams St, Seattle, WA 98101"
141276,AA Batteries (4-pack),2,3.84,01/23/19 10:52,"437 Main St, Atlanta, GA 30301"
141277,Flatscreen TV,1,300.0,02/01/19 00:02,"699 Cherry St, Austin, TX 73301"
141278,27in FHD Monitor,1,149.99,01/02/19 10:02,"453 Maple St, San Francisco, CA 94016"
141279,Bose SoundSport Headphones,1,99.99,01/04/19 15:32,"747 Highland St, Boston, MA 02215"
141280,Lightning Charging Cable,1,14.95,01/27/19 19:48,"382 Pine St, Seattle, WA 98101"
141281,ThinkPad Laptop,1,999.99,01/31/19 14:31,"483 12th St, Atlanta, GA 30301"
141282,Bose SoundSport Headphones,1,99.99,01/20/19 17:31,"557 Maple St, San Francisco, CA 94016"
141283,AAA Batteries (4-pack),1,2.99,01/26/19 21:52,"628 14th St, Los Angeles, CA 90001"
141284,AA Batteries (4-pack),1,3.84,01/29/19 20:54,"649 Pine St, Atlanta, GA 30301"
141285,iPhone,1,700.0,01/08/19 14:51,"672 Wilson St, San Francisco, CA 94016"
141286,27in 4K Gaming Monitor,1,389.99,01/10/19 14:43,"85 Forest St, Portland, ME 04101"
141287,34in Ultrawide Monitor,1,379.99,01/21/19 17:51,"293 Park St, Portland, ME 04101"
141288,Lightning Charging Cable,1,14.95,01/28/19 13:55,"766 Hickory St, New York City, NY 10001"
141289,Macbook Pro Laptop,1,1700.0,01/29/19 10:23,"643 4th St, Los Angeles, CA 90001"
141290,Lightning Charging Cable,1,14.95,01/02/19 11:47,"366 Johnson St, Los Angeles, CA 90001"
141291,AAA Batteries (4-pack),1,2.99,01/13/19 09:09,"322 Meadow St, Boston, MA 02215"
141292,Lightning Charging Cable,1,14.95,01/26/19 15:55,"353 Lake St, San Francisco, CA 94016"
141293,Wired Headphones,1,11.99,01/09/19 18:28,"253 Wilson St, New York City, NY 10001"
141294,ThinkPad Laptop,1,999.99,01/21/19 19:19,"964 River St, Seattle, WA 98101"
141295,iPhone,1,700.0,01/02/19 11:48,"88 Adams St, San Francisco, CA 94016"
141296,AA Batteries (4-pack),1,3.84,01/11/19 09:17,"38 6th St, Boston, MA 02215"
141297,34in Ultrawide Monitor,1,379.99,01/25/19 07:04,"966 Jackson St, San Francisco, CA 94016"
141298,USB-C Charging Cable,1,11.95,01/31/19 07:33,"99 Highland St, Boston, MA 02215"
141299,27in 4K Gaming Monitor,1,389.99,01/03/19 19:40,"572 Wilson St, San Francisco, CA 94016"
141300,Flatscreen TV,1,300.0,01/09/19 11:06,"432 Ridge St, Portland, OR 97035"
141301,27in FHD Monitor,1,149.99,01/20/19 12:28,"774 North St, Atlanta, GA 30301"
141302,Apple Airpods Headphones,1,150.0,01/10/19 19:37,"120 Walnut St, Atlanta, GA 30301"
141303,27in FHD Monitor,1,149.99,01/27/19 12:45,"605 Madison St, Austin, TX 73301"
141304,Apple Airpods Headphones,1,150.0,01/02/19 16:44,"438 14th St, Boston, MA 02215"
141305,USB-C Charging Cable,1,11.95,01/29/19 18:52,"292 River St, New York City, NY 10001"
141306,27in FHD Monitor,1,149.99,01/23/19 12:20,"827 Cedar St, New York City, NY 10001"
141307,Macbook Pro Laptop,1,1700.0,01/06/19 14:50,"597 Forest St, Los Angeles, CA 90001"
141308,Apple Airpods Headphones,1,150.0,01/11/19 11:41,"826 Ridge St, Los Angeles, CA 90001"
141309,34in Ultrawide Monitor,1,379.99,01/27/19 12:36,"838 Spruce St, New York City, NY 10001"
141310,Wired Headphones,1,11.99,01/13/19 19:16,"90 6th St, Atlanta, GA 30301"
141311,Wired Headphones,1,11.99,01/25/19 18:42,"582 South St, Atlanta, GA 30301"
141312,Bose SoundSport Headphones,1,99.99,01/21/19 12:02,"704 Center St, Portland, ME 04101"
141313,Apple Airpods Headphones,1,150.0,01/01/19 05:49,"292 7th St, Dallas, TX 75001"
141314,Macbook Pro Laptop,1,1700.0,01/29/19 17:32,"88 2nd St, Boston, MA 02215"
141315,Flatscreen TV,1,300.0,01/29/19 15:06,"428 12th St, San Francisco, CA 94016"
141316,Apple Airpods Headphones,1,150.0,01/26/19 21:06,"788 Forest St, Boston, MA 02215"
141317,Apple Airpods Headphones,1,150.0,01/26/19 18:15,"265 Hickory St, Atlanta, GA 30301"
141318,AAA Batteries (4-pack),1,2.99,01/01/19 19:01,"894 Highland St, Atlanta, GA 30301"
141319,iPhone,1,700.0,01/13/19 13:50,"517 North St, Seattle, WA 98101"
141320,ThinkPad Laptop,1,999.99,01/13/19 09:20,"398 5th St, Boston, MA 02215"
141321,Wired Headphones,2,11.99,01/25/19 22:16,"617 Lincoln St, San Francisco, CA 94016"
141322,Apple Airpods Headphones,1,150.0,01/07/19 10:36,"846 Willow St, San Francisco, CA 94016"
141323,Google Phone,1,600.0,01/17/19 15:35,"53 Pine St, Atlanta, GA 30301"
141323,USB-C Charging Cable,1,11.95,01/17/19 15:35,"53 Pine St, Atlanta, GA 30301"
141324,Wired Headphones,2,11.99,01/10/19 22:25,"914 Center St, Dallas, TX 75001"
141325,USB-C Charging Cable,1,11.95,01/12/19 22:48,"810 Forest St, Boston, MA 02215"
141326,AAA Batteries (4-pack),1,2.99,01/29/19 17:46,"300 Sunset St, Portland, OR 97035"
141327,Bose SoundSport Headphones,1,99.99,01/04/19 08:43,"226 Washington St, San Francisco, CA 94016"
141328,Apple Airpods Headphones,1,150.0,01/25/19 14:13,"547 Maple St, Seattle, WA 98101"
141329,USB-C Charging Cable,1,11.95,01/18/19 23:55,"219 Sunset St, Los Angeles, CA 90001"
141330,Lightning Charging Cable,1,14.95,01/05/19 19:59,"47 Main St, New York City, NY 10001"
141331,Bose SoundSport Headphones,1,99.99,01/04/19 16:22,"334 11th St, New York City, NY 10001"
141332,Bose SoundSport Headphones,1,99.99,01/07/19 20:00,"737 Highland St, New York City, NY 10001"
141333,USB-C Charging Cable,1,11.95,01/30/19 21:31,"416 Dogwood St, San Francisco, CA 94016"
141334,AA Batteries (4-pack),3,3.84,01/16/19 20:14,"652 Elm St, Seattle, WA 98101"
141335,Apple Airpods Headphones,1,150.0,01/23/19 19:56,"499 7th St, Dallas, TX 75001"
141336,27in 4K Gaming Monitor,1,389.99,01/16/19 12:14,"464 Park St, New York City, NY 10001"
141337,20in Monitor,1,109.99,01/11/19 12:18,"596 Forest St, San Francisco, CA 94016"
141338,Bose SoundSport Headphones,1,99.99,01/26/19 07:50,"722 Center St, Dallas, TX 75001"
141339,AAA Batteries (4-pack),1,2.99,01/02/19 20:06,"358 Adams St, San Francisco, CA 94016"
141340,27in FHD Monitor,1,149.99,01/08/19 13:33,"750 Park St, San Francisco, CA 94016"
141341,Lightning Charging Cable,1,14.95,01/28/19 22:38,"153 Center St, Atlanta, GA 30301"
141342,Bose SoundSport Headphones,1,99.99,01/27/19 09:39,"413 Cedar St, Boston, MA 02215"
141343,Apple Airpods Headphones,1,150.0,01/09/19 10:31,"417 Cherry St, Boston, MA 02215"
141344,AAA Batteries (4-pack),1,2.99,01/29/19 19:51,"421 West St, San Francisco, CA 94016"
141345,Apple Airpods Headphones,1,150.0,01/27/19 16:36,"548 12th St, San Francisco, CA 94016"
141346,Wired Headphones,1,11.99,01/22/19 15:35,"607 Sunset St, New York City, NY 10001"
141347,AA Batteries (4-pack),1,3.84,01/13/19 13:38,"311 Sunset St, Atlanta, GA 30301"
141348,Bose SoundSport Headphones,1,99.99,01/31/19 22:04,"731 5th St, San Francisco, CA 94016"
141349,iPhone,1,700.0,01/24/19 00:45,"486 River St, New York City, NY 10001"
141350,Wired Headphones,1,11.99,01/30/19 14:50,"119 Cedar St, San Francisco, CA 94016"
141351,AA Batteries (4-pack),1,3.84,01/04/19 07:57,"308 12th St, New York City, NY 10001"
141352,USB-C Charging Cable,1,11.95,01/01/19 19:56,"328 Sunset St, San Francisco, CA 94016"
141353,Wired Headphones,1,11.99,01/17/19 06:22,"864 Maple St, San Francisco, CA 94016"
141354,Bose SoundSport Headphones,1,99.99,01/02/19 12:43,"529 Johnson St, Seattle, WA 98101"
141355,Lightning Charging Cable,2,14.95,01/12/19 10:45,"622 8th St, Seattle, WA 98101"
141356,AAA Batteries (4-pack),1,2.99,01/17/19 15:26,"160 10th St, Boston, MA 02215"
141357,27in 4K Gaming Monitor,1,389.99,01/07/19 11:23,"712 Jefferson St, Austin, TX 73301"
141358,USB-C Charging Cable,1,11.95,01/29/19 13:23,"462 Wilson St, Los Angeles, CA 90001"
141359,Lightning Charging Cable,1,14.95,01/14/19 08:42,"414 Sunset St, Portland, OR 97035"
141360,Wired Headphones,1,11.99,01/31/19 21:00,"756 Sunset St, San Francisco, CA 94016"
141361,AA Batteries (4-pack),1,3.84,01/06/19 13:12,"887 Madison St, San Francisco, CA 94016"
141362,ThinkPad Laptop,1,999.99,01/23/19 15:51,"216 Center St, Dallas, TX 75001"
141363,Lightning Charging Cable,1,14.95,01/06/19 20:58,"330 Pine St, Seattle, WA 98101"
141364,Lightning Charging Cable,1,14.95,01/03/19 12:01,"480 Hickory St, Atlanta, GA 30301"
141365,Wired Headphones,1,11.99,01/12/19 23:44,"539 12th St, Los Angeles, CA 90001"
,,,,,
141366,Macbook Pro Laptop,1,1700,01/18/19 19:53,"817 Madison St, Los Angeles, CA 90001"
141367,27in FHD Monitor,1,149.99,01/16/19 10:05,"133 Willow St, Dallas, TX 75001"
141368,USB-C Charging Cable,1,11.95,01/06/19 15:55,"21 Elm St, Atlanta, GA 30301"
141369,AAA Batteries (4-pack),1,2.99,01/19/19 12:47,"529 Willow St, Portland, OR 97035"
141370,Flatscreen TV,1,300,01/01/19 21:16,"143 7th St, San Francisco, CA 94016"
141371,Macbook Pro Laptop,1,1700,01/17/19 21:46,"169 Lakeview St, Boston, MA 02215"
141372,27in FHD Monitor,1,149.99,01/13/19 11:35,"176 Ridge St, New York City, NY 10001"
141373,27in FHD Monitor,1,149.99,01/17/19 20:05,"254 Dogwood St, Los Angeles, CA 90001"
141374,Wired Headphones,2,11.99,01/03/19 15:03,"469 Highland St, San Francisco, CA 94016"
141375,Wired Headphones,1,11.99,01/04/19 11:29,"620 1st St, Los Angeles, CA 90001"
141376,27in FHD Monitor,1,149.99,01/19/19 14:26,"291 14th St, Austin, TX 73301"
141377,iPhone,1,700,01/25/19 21:55,"993 Lakeview St, Austin, TX 73301"
141377,Lightning Charging Cable,1,14.95,01/25/19 21:55,"993 Lakeview St, Austin, TX 73301"
141378,Wired Headphones,1,11.99,01/10/19 23:44,"792 Spruce St, Seattle, WA 98101"
141379,Wired Headphones,1,11.99,01/22/19 09:26,"820 Willow St, Los Angeles, CA 90001"
141380,Wired Headphones,1,11.99,01/02/19 12:17,"519 River St, San Francisco, CA 94016"
141381,20in Monitor,1,109.99,01/12/19 18:43,"516 North St, Boston, MA 02215"
141382,Wired Headphones,1,11.99,01/24/19 11:17,"275 Meadow St, San Francisco, CA 94016"
141383,Wired Headphones,1,11.99,01/25/19 16:24,"836 Johnson St, New York City, NY 10001"
141384,LG Washing Machine,1,600.0,01/23/19 22:10,"448 10th St, San Francisco, CA 94016"
141385,20in Monitor,1,109.99,01/08/19 06:51,"777 Elm St, Austin, TX 73301"
141386,Apple Airpods Headphones,1,150,01/08/19 14:44,"424 Willow St, New York City, NY 10001"
141387,Lightning Charging Cable,1,14.95,01/01/19 22:06,"652 Willow St, Dallas, TX 75001"
141388,USB-C Charging Cable,1,11.95,01/19/19 10:50,"915 Main St, Los Angeles, CA 90001"
141389,AA Batteries (4-pack),1,3.84,01/16/19 18:22,"479 Madison St, Los Angeles, CA 90001"
141390,AAA Batteries (4-pack),1,2.99,01/06/19 15:01,"947 West St, Boston, MA 02215"
141391,Lightning Charging Cable,1,14.95,01/31/19 21:08,"449 River St, Boston, MA 02215"
141392,Wired Headphones,1,11.99,01/12/19 10:51,"664 Adams St, Dallas, TX 75001"
141393,USB-C Charging Cable,1,11.95,01/20/19 11:52,"137 Center St, Seattle, WA 98101"
141394,ThinkPad Laptop,1,999.99,01/11/19 19:18,"165 Chestnut St, Seattle, WA 98101"
141395,USB-C Charging Cable,1,11.95,01/14/19 15:30,"996 9th St, New York City, NY 10001"
141396,Wired Headphones,1,11.99,01/13/19 19:12,"825 Church St, Seattle, WA 98101"
141397,AA Batteries (4-pack),1,3.84,01/29/19 18:25,"188 Dogwood St, Austin, TX 73301"
141398,27in FHD Monitor,1,149.99,01/17/19 23:30,"588 5th St, Dallas, TX 75001"
141399,Bose SoundSport Headphones,1,99.99,01/11/19 13:17,"587 Dogwood St, Austin, TX 73301"
141400,iPhone,1,700,01/29/19 22:16,"424 1st St, Boston, MA 02215"
141401,USB-C Charging Cable,2,11.95,01/11/19 20:58,"88 River St, New York City, NY 10001"
141402,27in FHD Monitor,1,149.99,01/31/19 20:24,"299 Meadow St, Portland, OR 97035"
141403,iPhone,1,700,01/27/19 20:32,"784 Johnson St, San Francisco, CA 94016"
141403,Lightning Charging Cable,1,14.95,01/27/19 20:32,"784 Johnson St, San Francisco, CA 94016"
141404,AAA Batteries (4-pack),1,2.99,01/09/19 10:49,"406 Cherry St, New York City, NY 10001"
141405,AAA Batteries (4-pack),1,2.99,01/22/19 19:01,"229 South St, Boston, MA 02215"
141406,ThinkPad Laptop,1,999.99,01/30/19 10:53,"636 Lincoln St, Portland, OR 97035"
141407,AA Batteries (4-pack),1,3.84,01/30/19 17:24,"649 Lakeview St, Atlanta, GA 30301"
141408,USB-C Charging Cable,1,11.95,01/31/19 16:34,"737 River St, Portland, OR 97035"
141409,AAA Batteries (4-pack),2,2.99,01/13/19 16:30,"38 Maple St, Seattle, WA 98101"
141410,Lightning Charging Cable,1,14.95,01/03/19 13:16,"626 Pine St, Atlanta, GA 30301"
141411,Apple Airpods Headphones,1,150,01/24/19 10:44,"959 Johnson St, Los Angeles, CA 90001"
141412,34in Ultrawide Monitor,1,379.99,01/03/19 09:30,"789 Washington St, Seattle, WA 98101"
141413,USB-C Charging Cable,1,11.95,01/17/19 19:04,"264 2nd St, Los Angeles, CA 90001"
141414,AA Batteries (4-pack),1,3.84,01/17/19 14:25,"981 Hickory St, New York City, NY 10001"
141415,Apple Airpods Headphones,1,150,01/18/19 10:02,"512 6th St, Portland, OR 97035"
141416,AAA Batteries (4-pack),1,2.99,01/10/19 19:00,"180 Church St, New York City, NY 10001"
141416,Wired Headphones,1,11.99,01/10/19 19:00,"180 Church St, New York City, NY 10001"
141417,Wired Headphones,1,11.99,01/15/19 15:19,"237 13th St, Portland, OR 97035"
141418,Wired Headphones,1,11.99,01/22/19 21:28,"574 2nd St, Austin, TX 73301"
141419,USB-C Charging Cable,1,11.95,01/14/19 21:19,"980 4th St, Boston, MA 02215"
141420,Wired Headphones,2,11.99,01/15/19 21:14,"578 North St, Atlanta, GA 30301"
141421,AAA Batteries (4-pack),1,2.99,01/01/19 22:15,"546 9th St, Atlanta, GA 30301"
